Ct OIII SII NII OII Ha Hb
63 9.3241E+32 1.8774E+31 3.0961E+30 1.0518E+32 4.8672E+33 1.7580E+33
64 1.1799E+33 3.4231E+31 6.2235E+30 1.9556E+32 7.1481E+33 2.5758E+33
65 1.3519E+33 5.1692E+31 1.0040E+31 2.9581E+32 9.3047E+33 3.3480E+33
66 1.6008E+35 3.8599E+33 3.4581E+34 1.3333E+34 2.0979E+35 7.4809E+34
67 1.5011E+33 7.7305E+31 1.5868E+31 4.3508E+32 1.2007E+34 4.3137E+33
68 1.5893E+33 1.0537E+32 2.2213E+31 5.7348E+32 1.4549E+34 5.2197E+33
69 1.6422E+33 1.3967E+32 2.9513E+31 7.1969E+32 1.7236E+34 6.1733E+33
70 1.6663E+33 1.7835E+32 3.6773E+31 8.5250E+32 1.9841E+34 7.0924E+33
71 1.6749E+33 2.2669E+32 4.4090E+31 9.6983E+32 2.2559E+34 8.0424E+33
72 6.8416E+33 3.3673E+33 1.1206E+34 8.4266E+33 1.9218E+34 6.8734E+33
73 2.0091E+35 6.9743E+33 6.7588E+34 2.3338E+34 2.8843E+35 1.0273E+35
74 6.8784E+33 4.4271E+33 1.3783E+34 1.0111E+34 2.1535E+34 7.7019E+33
75 2.2729E+35 1.0165E+34 1.0444E+35 3.3198E+34 3.4931E+35 1.2437E+35
76 2.5144E+35 1.4819E+34 1.6199E+35 4.6892E+34 4.1779E+35 1.4871E+35
77 2.7217E+35 2.2489E+34 2.6161E+35 6.7502E+34 5.0044E+35 1.7811E+35
78 2.8238E+35 3.1536E+34 3.7739E+35 8.8694E+34 5.6983E+35 2.0280E+35
79 2.8707E+35 4.6559E+34 5.4461E+35 1.1728E+35 6.4692E+35 2.3024E+35
80 3.2282E+35 9.9362E+34 5.2140E+35 1.6902E+35 7.5019E+35 2.6524E+35
81 5.3483E+34 4.7039E+32 2.2569E+33 1.0157E+33 6.8470E+34 2.4563E+34
82 1.1075E+35 2.0175E+33 1.0085E+34 4.1248E+33 1.4249E+35 5.0560E+34
83 1.8000E+34 4.0943E+33 1.1629E+33 1.1132E+34 2.4327E+34 8.6980E+33
84 4.5612E+33 5.0146E+31 1.2377E+31 1.8062E+32 2.1608E+33 7.8935E+32
85 8.5857E+33 1.8507E+32 5.4215E+31 7.1595E+32 4.7079E+33 1.7101E+33
