Ct OIII SII NII OII Ha Hb
63 1.4371E+33 7.3932E+32 2.5801E+32 4.6358E+33 8.0003E+34 2.9071E+34
64 1.4371E+33 9.1751E+32 2.9986E+32 5.1639E+33 9.1232E+34 3.3112E+34
65 1.4371E+33 1.1922E+33 3.5388E+32 5.7977E+33 1.0765E+35 3.8981E+34
66 3.9285E+33 3.9997E+33 1.1059E+34 1.6751E+34 1.1588E+35 4.1880E+34
67 1.3478E+33 1.2721E+33 3.5198E+34 5.4060E+33 1.1588E+35 4.1880E+34
68 3.8010E+33 4.3629E+32 2.0426E+33 5.3500E+33 3.4637E+34 1.2653E+34
69 3.9265E+33 8.0984E+32 3.4698E+33 7.5454E+33 4.7226E+34 1.7221E+34
70 3.9285E+33 1.1431E+33 4.6118E+33 9.0524E+33 5.6200E+34 2.0476E+34
71 1.3038E+33 1.3954E+32 6.5716E+33 1.7829E+33 3.4036E+34 1.2437E+34
72 3.9285E+33 1.6658E+33 6.1899E+33 1.1084E+34 6.8997E+34 2.5110E+34
73 3.9285E+33 2.2187E+33 7.6469E+33 1.2918E+34 8.1316E+34 2.9562E+34
74 1.3468E+33 2.5629E+32 1.1044E+34 2.4799E+33 4.6564E+34 1.6983E+34
75 3.9285E+33 2.8156E+33 9.0223E+33 1.4597E+34 9.3631E+34 3.3998E+34
76 3.9285E+33 3.5105E+33 1.0371E+34 1.6141E+34 1.0707E+35 3.8808E+34
77 1.3478E+33 3.7026E+32 1.4928E+34 2.9923E+33 5.6277E+34 2.0506E+34
78 3.7645E+33 3.8453E+33 3.3417E+34 1.5572E+34 1.1578E+35 4.1857E+34
79 1.3478E+33 5.2678E+32 1.9638E+34 3.5967E+33 6.8423E+34 2.4904E+34
80 1.4286E+33 1.3389E+33 3.7310E+33 5.9326E+33 1.1622E+35 4.1969E+34
81 3.6504E+33 4.2492E+32 6.2632E+33 5.0484E+33 3.4919E+34 1.2754E+34
82 1.3478E+33 7.0606E+32 2.4362E+34 4.1903E+33 8.1093E+34 2.9483E+34
83 3.7627E+33 7.7591E+32 1.0478E+34 7.0134E+33 4.7361E+34 1.7269E+34
84 3.7645E+33 1.1001E+33 1.3958E+34 8.4079E+33 5.6623E+34 2.0628E+34
85 1.3478E+33 8.9731E+32 2.8761E+34 4.7263E+33 9.3587E+34 3.3984E+34
86 3.7645E+33 1.6148E+33 1.8816E+34 1.0315E+34 6.9871E+34 2.5426E+34
87 3.7645E+33 2.1354E+33 2.3113E+34 1.1978E+34 8.1929E+34 2.9786E+34
88 1.3478E+33 1.1195E+33 3.3062E+34 5.2175E+33 1.0719E+35 3.8851E+34
89 3.7645E+33 2.7103E+33 2.7274E+34 1.3548E+34 9.4142E+34 3.4188E+34
90 1.3780E+33 1.4444E+32 6.8417E+32 1.9210E+33 3.3701E+34 1.2313E+34
91 3.7645E+33 3.3640E+33 3.1275E+34 1.4975E+34 1.0703E+35 3.8804E+34
92 1.4276E+33 2.7091E+32 1.1719E+33 2.7224E+33 4.6462E+34 1.6941E+34
93 1.4286E+33 4.2302E+32 1.6882E+33 3.4352E+33 5.8389E+34 2.1262E+34
94 1.4286E+33 5.4282E+32 2.0492E+33 3.9184E+33 6.7055E+34 2.4398E+34
95 1.4286E+33 7.3748E+32 2.5700E+33 4.5979E+33 8.0175E+34 2.9135E+34
96 8.7613E+33 1.1088E+34 9.4949E+33 4.0317E+34 1.1601E+35 4.1924E+34
97 1.4286E+33 9.1487E+32 2.9858E+33 5.1208E+33 9.1390E+34 3.3172E+34
98 8.5069E+33 1.1888E+33 1.7194E+33 1.1973E+34 3.6498E+34 1.3297E+34
99 1.4286E+33 1.1659E+33 3.4836E+33 5.7066E+33 1.0645E+35 3.8559E+34
100 8.7593E+33 2.2078E+33 2.9288E+33 1.7036E+34 4.9165E+34 1.7891E+34
101 8.7613E+33 3.2654E+33 4.0433E+33 2.1163E+34 5.9804E+34 2.1746E+34
102 3.9987E+33 4.0632E+33 1.1261E+33 1.7248E+34 1.1594E+35 4.1893E+34
103 8.7613E+33 4.3591E+33 5.0684E+33 2.4941E+34 6.9646E+34 2.5310E+34
104 8.7613E+33 5.8310E+33 6.2987E+33 2.9461E+34 8.1533E+34 2.9610E+34
105 8.7613E+33 7.4808E+33 7.5126E+33 3.3875E+34 9.3485E+34 3.3923E+34
